Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,150.529999,151.380005,149.419998,149.449997,146.894852,1411100
2017-12-07,149.160004,151.479996,149.000000,151.110001,148.526474,1434300
2017-12-08,151.809998,152.460007,151.050003,151.580002,148.988434,1084000
2017-12-11,150.800003,151.580002,150.559998,151.330002,148.742706,1537200
2017-12-12,151.240005,151.710007,150.389999,151.070007,148.487167,1699200
2017-12-13,151.679993,153.339996,151.259995,151.949997,149.352112,1608200
2017-12-14,152.369995,152.580002,149.309998,149.440002,146.885025,1420300
2017-12-15,150.600006,152.000000,150.550003,150.869995,148.290588,2555900
2017-12-18,152.500000,154.669998,152.419998,154.039993,151.406387,1985100
2017-12-19,154.339996,154.979996,152.020004,154.479996,151.838852,1841200
2017-12-20,154.940002,155.240005,154.000000,154.369995,151.730728,1430000
2017-12-21,154.979996,156.300003,154.250000,155.860001,153.195251,2315600
2017-12-22,156.059998,158.100006,155.110001,157.529999,154.836716,1714700
2017-12-26,157.949997,158.759995,156.809998,158.750000,156.035858,2407200
2017-12-27,158.619995,159.100006,158.220001,158.580002,155.868759,1781500
2017-12-28,158.479996,158.660004,157.300003,157.699997,155.592499,1237600
2017-12-29,157.949997,157.990005,156.470001,156.509995,154.418396,1258200
2018-01-02,156.669998,158.059998,156.550003,158.009995,155.898361,1897600
2018-01-03,157.889999,159.100006,157.639999,158.729996,156.608734,1392300
2018-01-04,159.199997,160.100006,157.350006,159.639999,157.506592,1747000
2018-01-05,159.800003,160.470001,156.589996,160.320007,158.177505,1574400
2018-01-08,160.050003,161.179993,158.899994,161.110001,158.956940,2711800
2018-01-09,162.009995,165.979996,161.520004,165.600006,163.386917,4345200
2018-01-10,166.740005,168.440002,164.100006,164.940002,162.735764,5473700
2018-01-11,165.130005,167.550003,163.770004,167.460007,165.222076,1958200
2018-01-12,168.449997,170.729996,167.960007,169.300003,167.037476,2316500
2018-01-16,170.149994,170.610001,166.360001,167.539993,165.300995,2046100
2018-01-17,168.600006,168.639999,166.389999,167.429993,165.192459,1940600
2018-01-18,166.960007,168.449997,166.259995,167.899994,165.656189,2185900
2018-01-19,168.529999,170.320007,168.089996,170.320007,168.043869,1613900
2018-01-22,170.000000,170.399994,168.720001,170.380005,168.103058,1401000
2018-01-23,169.899994,170.089996,168.429993,168.660004,166.406036,1365000
2018-01-24,169.710007,170.429993,168.059998,169.600006,167.333496,1448700
2018-01-25,171.000000,171.399994,166.910004,169.130005,166.869766,1651300
2018-01-26,169.500000,171.960007,169.139999,171.490005,169.198227,1554500
2018-01-29,171.490005,171.949997,168.759995,169.179993,166.919083,1487600
2018-01-30,167.750000,169.399994,166.820007,168.509995,166.258026,1712700
2018-01-31,169.419998,170.580002,166.160004,166.419998,164.195969,1969800
2018-02-01,165.990005,168.389999,164.259995,167.850006,165.606873,1721300
2018-02-02,166.660004,167.929993,164.720001,164.960007,162.755493,2568700
2018-02-05,163.100006,166.059998,156.970001,157.020004,154.921600,3549600
2018-02-06,153.949997,162.259995,151.449997,161.880005,159.716644,3377400
2018-02-07,161.169998,164.160004,160.910004,161.440002,159.282516,2378800
2018-02-08,161.199997,161.220001,153.610001,153.660004,151.606491,3051300
2018-02-09,155.410004,157.149994,148.600006,154.929993,152.859528,3895300
2018-02-12,156.740005,160.360001,155.910004,159.210007,157.082336,2343100
2018-02-13,158.020004,161.610001,157.559998,161.300003,159.144409,1795900
2018-02-14,159.960007,164.880005,159.759995,163.279999,161.097931,2854000
2018-02-15,165.000000,167.419998,162.990005,166.809998,164.580765,3026200
2018-02-16,165.759995,175.259995,162.009995,169.440002,167.175613,6626900
2018-02-20,169.039993,169.960007,163.649994,164.770004,162.568024,3750400
2018-02-21,164.800003,166.779999,161.970001,162.089996,159.923828,2753300
2018-02-22,163.000000,165.800003,162.759995,164.160004,161.966171,1908800
2018-02-23,165.020004,166.259995,162.869995,166.240005,164.018387,2038800
2018-02-26,167.050003,168.309998,165.630005,167.460007,165.222076,1770000
2018-02-27,167.529999,167.529999,163.580002,163.580002,161.393921,2281800
2018-02-28,163.919998,164.919998,160.869995,160.869995,158.720139,2781400
2018-03-01,160.750000,162.850006,155.740005,156.809998,154.714401,3697000
2018-03-02,155.550003,156.259995,151.779999,153.309998,151.261169,4169500
2018-03-05,152.539993,158.240005,151.039993,157.539993,155.434631,3093400
2018-03-06,158.600006,159.570007,157.460007,158.509995,156.391678,2394000
2018-03-07,156.039993,158.320007,154.979996,157.899994,155.789810,2589100
2018-03-08,157.690002,161.350006,155.720001,161.059998,158.907608,3508000
2018-03-09,162.000000,168.009995,161.729996,167.929993,165.685776,3828000
2018-03-12,167.960007,168.050003,162.800003,164.029999,161.837906,2260900
2018-03-13,164.960007,166.309998,160.669998,161.320007,159.164124,2732300
2018-03-14,162.419998,162.500000,158.899994,160.210007,158.068954,2243000
2018-03-15,160.919998,161.679993,159.149994,159.600006,157.467133,1320700
2018-03-16,159.720001,163.979996,159.369995,163.880005,161.689926,3818700
2018-03-19,162.649994,162.929993,157.830002,159.529999,157.398041,2798600
2018-03-20,160.199997,162.050003,159.179993,159.990005,157.851898,1499400
2018-03-21,158.889999,160.440002,155.729996,158.050003,155.937820,2901100
2018-03-22,153.740005,156.369995,151.210007,151.580002,149.554291,3768800
2018-03-23,151.759995,153.729996,147.600006,148.000000,146.022141,2940600
2018-03-26,151.389999,153.679993,148.899994,153.339996,151.290771,2463800
2018-03-27,154.240005,156.990005,150.899994,152.160004,150.126556,2691400
2018-03-28,151.479996,153.630005,148.789993,151.479996,150.047287,2655000
2018-03-29,152.399994,155.830002,151.520004,155.320007,153.850983,3526700
2018-04-02,154.380005,154.880005,149.289993,151.820007,150.384079,2150600
2018-04-03,152.690002,153.210007,149.759995,153.039993,151.592529,1957400
2018-04-04,145.320007,149.160004,143.570007,148.570007,147.164825,4478100
2018-04-05,149.919998,153.229996,149.309998,151.339996,149.908615,2963400
2018-04-06,149.330002,149.800003,143.029999,145.389999,144.014893,3294000
2018-04-09,146.669998,147.440002,142.729996,142.960007,141.607895,3629600
2018-04-10,146.050003,149.490005,145.440002,148.009995,146.610123,2597400
2018-04-11,145.270004,146.179993,144.250000,144.410004,143.044159,2309000
2018-04-12,145.649994,151.179993,145.649994,150.259995,148.838837,3258100
2018-04-13,151.710007,152.000000,148.979996,149.979996,148.561478,2634900
2018-04-16,151.169998,151.279999,148.289993,148.979996,147.570938,2608100
2018-04-17,150.690002,152.149994,149.149994,149.149994,147.739319,1957800
2018-04-18,150.589996,151.710007,149.410004,149.770004,148.353470,2022000
2018-04-19,149.830002,150.520004,146.500000,148.100006,146.699265,2290300
2018-04-20,148.330002,149.869995,146.300003,146.960007,145.570053,1896700
2018-04-23,147.250000,147.820007,145.320007,146.039993,144.658737,1245200
2018-04-24,148.309998,149.149994,137.410004,138.110001,136.803757,5467900
2018-04-25,138.070007,139.899994,136.100006,138.000000,136.694778,3067300
2018-04-26,138.050003,138.240005,133.699997,136.330002,135.040588,4071600
2018-04-27,136.699997,139.929993,136.330002,137.559998,136.258957,2602000
2018-04-30,137.740005,138.440002,135.220001,135.330002,134.050049,2533400
2018-05-01,134.759995,136.220001,132.179993,135.369995,134.089661,2378800
2018-05-02,135.410004,137.880005,134.589996,134.750000,133.475525,2585000
2018-05-03,136.000000,137.419998,131.259995,136.869995,135.575470,3716900
2018-05-04,136.119995,138.250000,135.149994,137.300003,136.001419,1934700
2018-05-07,140.000000,141.770004,139.270004,140.220001,138.893784,1840900
2018-05-08,140.649994,142.699997,140.220001,142.070007,140.726303,2189300
2018-05-09,143.210007,145.529999,142.089996,145.160004,143.787079,2332600
2018-05-10,145.470001,147.500000,144.550003,146.610001,145.223358,2413800
2018-05-11,146.809998,149.000000,146.149994,147.320007,145.926636,2487000
2018-05-14,148.350006,148.619995,145.789993,146.750000,145.362030,3483900
2018-05-15,145.330002,146.449997,143.309998,145.529999,144.153564,3135000
2018-05-16,145.619995,147.600006,145.619995,147.350006,145.956360,1887400
2018-05-17,147.300003,148.100006,145.410004,146.809998,145.421463,4095700
2018-05-18,146.500000,157.100006,146.110001,155.250000,153.781631,7788800
2018-05-21,159.500000,161.389999,156.100006,158.330002,156.832520,4922000
2018-05-22,158.339996,159.410004,154.899994,155.089996,153.623154,2462000
2018-05-23,153.729996,156.690002,153.050003,156.580002,155.099060,1966200
2018-05-24,158.539993,158.649994,155.940002,158.179993,156.683914,2426000
2018-05-25,157.699997,159.389999,157.570007,159.000000,157.496170,2096700
2018-05-29,157.039993,158.889999,153.509995,155.009995,153.543900,3349900
2018-05-30,155.779999,156.149994,154.210007,155.080002,153.613251,2870600
2018-05-31,154.919998,155.070007,149.460007,149.509995,148.095917,4754600
2018-06-01,150.699997,154.039993,150.529999,153.389999,151.939224,2641000
2018-06-04,153.729996,154.119995,151.179993,151.539993,150.106720,1639100
2018-06-05,152.330002,154.570007,151.910004,154.449997,152.989212,1872200
2018-06-06,155.139999,158.559998,154.779999,158.550003,157.050415,2468100
2018-06-07,158.440002,160.309998,157.669998,158.649994,157.149475,2192300
2018-06-08,158.130005,158.610001,156.050003,157.119995,155.633942,1390300
2018-06-11,156.869995,157.750000,155.389999,156.679993,155.198105,1925100
2018-06-12,156.550003,158.600006,156.550003,157.589996,156.099503,2548600
2018-06-13,157.910004,157.910004,152.929993,153.339996,151.889694,2386100
2018-06-14,153.009995,153.899994,150.009995,150.179993,148.759583,3072100
2018-06-15,148.570007,150.199997,145.690002,148.750000,147.343124,5991000
2018-06-18,147.389999,148.139999,146.649994,147.789993,146.392197,2947200
2018-06-19,145.000000,145.000000,141.539993,142.279999,140.934311,3752500
2018-06-20,142.649994,144.850006,140.880005,144.350006,142.984741,2609600
2018-06-21,143.470001,143.809998,140.699997,142.009995,140.666855,2784400
2018-06-22,143.679993,145.360001,142.869995,143.169998,141.815887,2315000
2018-06-25,141.729996,141.919998,138.649994,139.649994,138.329178,3705200
2018-06-26,140.029999,141.130005,138.720001,139.649994,138.329178,1832500
2018-06-27,140.929993,143.339996,139.130005,139.380005,138.061752,2433700
2018-06-28,138.589996,140.479996,137.320007,139.419998,138.788437,1619900
2018-06-29,140.110001,142.720001,139.580002,139.800003,139.166718,1906200
2018-07-02,138.059998,141.330002,137.880005,141.160004,140.520554,1867400
2018-07-03,141.800003,142.000000,139.860001,140.240005,139.604721,1580700
2018-07-05,140.559998,140.990005,138.080002,139.699997,139.067169,3014900
2018-07-06,139.929993,140.300003,137.899994,139.979996,139.345886,2059600
2018-07-09,140.869995,145.770004,140.369995,144.419998,143.765778,2149800
2018-07-10,145.339996,146.289993,143.789993,144.550003,143.895203,1531900
2018-07-11,142.169998,142.559998,140.679993,141.419998,140.779373,2396600
2018-07-12,141.809998,142.789993,140.580002,140.800003,140.162186,1681700
2018-07-13,140.699997,140.830002,137.479996,137.580002,136.956772,5103500
